X86 软路由|x86/64|generic
树莓派 4|bcm27xx/bcm2711|rpi-4
9Tripod X3568 V4|rockchip/armv8|9tripod_x3568-v4
AriaBoard Photonicat|rockchip/armv8|ariaboard_photonicat
AriaBoard Photonicat2|rockchip/armv8|ariaboard_photonicat2
ArmSoM Sige3|rockchip/armv8|armsom_sige3
ArmSoM Sige7|rockchip/armv8|armsom_sige7
Cyber Cyber3588 Aib|rockchip/armv8|cyber_cyber3588-aib
EZPro Mrkaio M68s|rockchip/armv8|ezpro_mrkaio-m68s
Firefly Roc Rk3328 Cc|rockchip/armv8|firefly_roc-rk3328-cc
Firefly Roc Rk3568 Pc|rockchip/armv8|firefly_roc-rk3568-pc
友善 Nanopc T4|rockchip/armv8|friendlyarm_nanopc-t4
友善 Nanopc T6|rockchip/armv8|friendlyarm_nanopc-t6
友善 Nanopi M5|rockchip/armv8|friendlyarm_nanopi-m5
友善 Nanopi R2c|rockchip/armv8|friendlyarm_nanopi-r2c
友善 Nanopi R2c Plus|rockchip/armv8|friendlyarm_nanopi-r2c-plus
友善 Nanopi R2s|rockchip/armv8|friendlyarm_nanopi-r2s
友善 Nanopi R2s Plus|rockchip/armv8|friendlyarm_nanopi-r2s-plus
友善 Nanopi R3s|rockchip/armv8|friendlyarm_nanopi-r3s
友善 Nanopi R4s|rockchip/armv8|friendlyarm_nanopi-r4s
友善 Nanopi R4s Enterprise|rockchip/armv8|friendlyarm_nanopi-r4s-enterprise
友善 Nanopi R4se|rockchip/armv8|friendlyarm_nanopi-r4se
友善 Nanopi R5c|rockchip/armv8|friendlyarm_nanopi-r5c
友善 Nanopi R5s|rockchip/armv8|friendlyarm_nanopi-r5s
友善 Nanopi R6c|rockchip/armv8|friendlyarm_nanopi-r6c
友善 Nanopi R6s|rockchip/armv8|friendlyarm_nanopi-r6s
友善 Nanopi R76s|rockchip/armv8|friendlyarm_nanopi-r76s
Huake Guangmiao G4c|rockchip/armv8|huake_guangmiao-g4c
LinkEase Easepi R1|rockchip/armv8|linkease_easepi-r1
Lunzn Fastrhino R66s|rockchip/armv8|lunzn_fastrhino-r66s
Lunzn Fastrhino R68s|rockchip/armv8|lunzn_fastrhino-r68s
LYT T68m|rockchip/armv8|lyt_t68m
MMBOX Anas3035|rockchip/armv8|mmbox_anas3035
NLnet Xiguapi V3|rockchip/armv8|nlnet_xiguapi-v3
Pine64 Rock64|rockchip/armv8|pine64_rock64
Pine64 Rockpro64|rockchip/armv8|pine64_rockpro64
瑞莎 Cm3 Io|rockchip/armv8|radxa_cm3-io
瑞莎 E20c|rockchip/armv8|radxa_e20c
瑞莎 E25|rockchip/armv8|radxa_e25
瑞莎 E52c|rockchip/armv8|radxa_e52c
瑞莎 Rock 2a|rockchip/armv8|radxa_rock-2a
瑞莎 Rock 2f|rockchip/armv8|radxa_rock-2f
